department,n_products,n,coverage,accuracy,b1_all_accuracy,accuracy_gain_vs_b1,supported,positive
DELI,7,2976,0.4479166666666667,0.8169542385596399,0.6253360215053764,0.19161821705426352,True,True
DRUG GM,15,3561,0.35720303285593935,0.779874213836478,0.537208649255827,0.24266556458065103,True,True
GROCERY,10,5027,0.44678734831907696,0.7506678539626002,0.558384722498508,0.19228313146409215,True,True
MEAT,13,6825,0.34564102564102567,0.7346333192030522,0.575970695970696,0.15866262323235625,True,True
MEAT-PCKGD,17,5670,0.3148148148148148,0.7579831932773109,0.5105820105820106,0.24740118269530031,True,True
NUTRITION,2,352,0.2556818181818182,0.7222222222222222,0.5539772727272727,0.1682449494949495,False,False
PASTRY,11,2244,0.321301247771836,0.7919556171983356,0.5811051693404634,0.21085044785787221,True,True
PRODUCE,17,7218,0.4829592684954281,0.8881239242685026,0.8018841784427819,0.08623974582572069,True,False
SALAD BAR,2,1700,0.6276470588235294,0.7582005623242737,0.6605882352941177,0.09761232703015599,False,False
SEAFOOD,3,196,0.413265306122449,0.8148148148148148,0.6275510204081632,0.18726379440665153,False,False
SEAFOOD-PCKGD,2,258,0.18992248062015504,0.6938775510204082,0.3875968992248062,0.30628065179560193,False,False
