source_id,filename,sha256,role,exists
MASTER_HANDOFF,MRSP_MASTER_HANDOFF_20260917.zip,779703e4cca54159793d5330c9c4eba9459c04a52b8febf8a1e150738f4c830f,historical handoff / V0.7-V0.11 lineage,True
V11_AUDIT,MRSP_V11_AUDIT_R11_a1fa152a3a.zip,ceb38680ba6b9ca41b11e9285c80f9dbec189f6c1d024d61c3c06c82a983b46a,V0.11 mechanism audit; later red-teamed,True
V11R1_AUDIT,MRSP_V11R1_AUDIT_20260917_091900.zip,5c3e0234b8cb1e59b049eee0fa369dfb7e8f79eb0c1250264a5c0be9115f022d,targeted H2/H4 repair audit,True
W1_AUDIT,MRSP_PPF_W1_AUDIT_20260917_113258.zip,79e28988dc20d9650bec0b380f85306a090bf38519f54d1aa81fe4e8af2a020d,9-product development benchmark,True
W2A_AUDIT,MRSP_PPF_W2A_AUDIT_20260917_122011.zip,027e4b55a18b0ef226c42e6279839f68d54c97399c25290b0c22128b0abecfb6,routing/selective prediction development,True
W2B_AUDIT,MRSP_PPF_W2B_AUDIT_20260917_144319.zip,f75a423da481e3767ac6664f28eefe029239982d6f919735fb1a9511110d1817,hard-case rescue development,True
CONFIDENCE_AUDIT,MRSP_PHCM_CONFIDENCE_AUDIT_20260921_100347.zip,d739067a9bfe362938f051c55a39ec4c49240dd6d0d2516e744988f3b574b02f,B1/B2 practical-value and reliability study,True
FRONTIER_AUDIT,MRSP_PREDICTABILITY_FRONTIER_AUDIT_20260921_102325.zip,0143151cea07c766dc26bf159a3ee4f2572785b93a7babe2923b2cb3cb1162be,P1 predictability gate development,True
ACTION_MAP_AUDIT,MRSP_PREDICTABILITY_ACTION_MAP_AUDIT_20260921_110458.zip,75d33a9f65de1764f45bfe6943c6c15b5b451fb62d762440e134060d353626d1,B0/B1/selective/abstain action development,True
GEN1_AUDIT,MRSP_PREDICTABILITY_GENERALIZATION_AUDIT_20260921_163956.zip,8aed3688af7d499d1c91c8d0152ef25260aa5311d626d5ece237604a8bd5564a,first 100-product generalization,True
GEN1_LINEAGE,MRSP_PREDICTABILITY_GENERALIZATION_UPLOAD_20260921.zip,808529cc5a659d51659d9df954c7703747433e7a42607b09e509fd6dba6acf92,"upstream lineage, candidate materialization, provenance",True
CONFIRM_AUDIT,MRSP_PREDICTABILITY_CONFIRMATORY_AUDIT_20260921_182000.zip,cf5f7558add5a29162aad827ea8f6a24ae0f1213e35f5efc01d05c947b6e8b9c,second untouched confirmatory batch + department challenge,True
